60.433,1.1239,24.31,28.817,46.358,26.817,57.534,32.561,40.41,95.061,79.446,14.665,13.634,80.683,72.028,54.517,43.655,66.093,31.603,7.3189,8.6667,61.503,12.185,74.89,13.754
6.0878,27.062,9.6194,65.713,34.156,96.965,16.059,28.568,95.33,33.606,7.7372,64.596,60.081,6.0535,93.363,8.2373,27.951,87.855,63.889,76.847,56.512,54.888,12.168,37.179,26.338
64.8,79.217,72.661,46.197,14.543,10.607,71.787,48.359,86.802,70.12,67.355,31.898,86.355,9.9162,40.898,69.03,91.962,92.775,46.817,27.058,40.524,68.683,13.875,53.712,7.2548
44.177,11.373,4.9411,60.475,58.085,74.822,43.008,3.8108,90.851,49.377,3.5685,83.284,98.278,22.347,78.845,76.883,15.908,58.252,64.307,67.09,34.373,65.483,60.354,78.237,98.882
46.369,10.598,40.833,97.868,85.083,26.565,55.974,56.737,26.895,36.125,15.057,94.488,32.819,9.6398,10.067,20.817,13.475,84.692,44.572,3.703,47.151,18.902,56.427,87.35,22.406
54.966,2.781,91.464,70.951,30.732,85.995,74.018,8.5829,23.073,74.941,74.797,18.439,63.735,77.189,13.024,76.997,32.599,34.51,74.647,86.35,59.868,80.438,8.7173,76.776,16.68
32.465,91.266,75.522,30.652,87.932,54.121,86.297,2.1156,55.858,91.012,52.324,30.144,83.116,12.987,16.697,89.731,74.192,61.696,25.444,14.9,15.885,3.9778,20.007,52.397,7.0425
69.953,77.824,65.903,5.3399,38.176,13.874,71.577,62.361,34.543,19.613,24.234,96.424,62.967,5.3281,48.405,43.542,36.886,68.647,21.509,28.05,88.442,61.214,77.913,27.775,61.044
85.3,17.682,52.839,68.427,27.651,50.602,90.31,74.314,13.246,61.167,31.094,77.365,40.212,66.119,67.504,41.529,56.145,87.26,36.322,71.105,24.2,10.145,83.706,55.808,26.503
95.707,99.808,75.205,12.388,2.3885,33.028,71.761,17.465,11.992,32.168,38.183,92.529,2.8152,17.5,13.492,5.79,10.105,94.915,99.064,80.892,7.8045,55.017,93.106,18.791,92.258
26.163,17.282,12.267,78.446,91.522,19.077,21.966,11.961,20.874,34.067,16.024,14.18,41.4,95.429,4.8153,74.46,72.15,10.199,79.86,27.03,27.412,12.324,32.263,32.165,35.011
58.508,66.503,56.358,52.535,38.55,68.853,63.581,22.844,84.927,45.212,39.375,80.528,81.15,91.838,22.72,90.307,65.287,2.0828,32.509,78.129,63.21,61.291,67.97,50.702,38.007
21.639,87.411,70.623,6.9691,87.844,26.904,48.266,10.954,68.504,94.292,12.513,60.472,29.291,97.47,33.68,54.797,60.982,48.75,65.956,18.705,1.2475,87.94,1.3721,13.786,4.2515
56.326,7.2779,3.8286,16.911,16.61,67.176,58.739,37.663,17,84.612,91.021,55.065,2.7294,56.518,27.445,86.892,29.203,19.152,4.1694,46.066,96.129,7.2124,58.143,32.087,31.69
63.814,69.352,5.2523,90.872,72.227,25.646,84.689,91.922,97.64,95.277,38.143,44.752,82.077,25.204,92.92,36.25,57.534,3.0444,33.53,91.878,87.945,4.8325,5.8501,11.984,82.217
54.902,63.124,79.41,68.804,68.375,26.663,90.865,52.35,62.647,18.184,20.07,23.825,96.148,39.209,3.3704,35.144,50.697,91.119,42.015,18.643,10.381,60.61,30.838,54.255,50.438
53.062,43.394,66.561,85.82,12.209,99.687,17.502,1.0278,87.055,40.383,61.281,25.681,89.266,26.081,8.1293,10.444,44.769,96.073,45.247,40.659,7.8071,32.804,16.974,34.613,96.283
11.58,82.937,37.609,31.326,1.2258,21.667,23.442,22.61,2.6774,67.644,48.979,32.793,27.108,94.364,71.544,10.688,23.492,19.895,4.636,66.615,59.522,12.64,50.545,94.038,23.381
