94.608,44.214,8.188,76.29,78.643,29.399,93.262,91.82,1.9113,63.319,98.503,43.246,81.118,92.347,22.633,62.169
33.017,36.027,91.035,25.458,16.358,50.416,48.622,61.874,79.625,77.075,55.397,24.047,92.286,70.089,87.348,87.179
89.255,7.9376,95.004,2.256,85.803,17.892,94.689,98.454,76.503,63.165,17.089,75.849,99.959,83.672,54.575,15.007
88.512,98.043,77.488,94.666,30.716,87.682,66.406,98.969,46.427,79.303,68.421,81.767,30.297,14.527,71.316,8.5123
38.541,24.752,49.39,28.569,96.227,6.8711,49.841,86.465,4.5169,10.319,7.5034,45.518,60.465,47.775,52.683,85.774
38.519,85.536,54.988,59.658,98.164,94.534,91.443,23.262,75.824,1.6683,35.387,39.401,56.565,29.244,24.807,1.4945
28.061,87.126,8.7212,99.357,80.254,48.2,74.319,4.7571,38.834,19.157,77.806,39.765,8.9251,66.926,68.46,58.128
89.676,53.173,65.754,16.513,31.828,64.482,1.4662,29.019,76.183,12.358,24.145,33.931,47.198,38.864,25.531,90.778
4.4549,43.823,29.875,64.563,24.262,1.4757,20.599,85.38,75.256,1.091,21.511,5.758,48.23,12.568,82.064,19.735
55.958,90.874,31.103,2.8256,6.9335,51.366,38.175,36.218,24.75,2.8429,28.635,21.765,77.676,37.7,17.371,65.365
94.855,23.64,10.073,81.547,54.824,12.832,73.163,90.818,5.0576,46.566,57.545,42.805,94.346,14.935,49.278,9.664
91.132,71.965,47.998,77.573,91.385,93.009,91.596,16.016,26.106,34.964,35.467,29.792,72.011,52.334,20.909,87.748
39.201,86.24,68.867,42.165,40.329,53.534,53.149,59.927,25.934,67.705,65.089,23.991,35.839,55.124,27.085,33.765
15.129,60.725,21.128,16.771,63.947,49.083,92.365,31.765,4.1407,98.404,25.864,39.973,16.269,97.022,65.852,46.308
62.162,77.428,52.286,74.766,70.548,97.224,94.068,44.075,72.831,71.991,7.2596,84.97,41.177,12.244,41.736,48.129
36.326,37.639,68.108,91.056,37.183,12.573,67.827,20.656,12.787,61.945,96.181,63.916,11.142,80.724,40.422,17.882
95.34,61.759,99.533,7.3044,64.51,21.343,50.987,12.686,62.195,5.1279,17.923,40.855,74.621,87.883,42.643,15.04
5.1792,15.564,77.784,28.051,20.877,72.597,16.965,82.019,41.951,78.778,60.734,54.466,47.033,25.243,19.689,77.64
85.382,62.114,79.754,40.124,3.8004,83.621,65.966,83.831,97.774,71.762,61.565,43.661,17.037,22.372,91.081,10.672
55.527,22.466,56.109,1.4641,74.737,43.241,6.8619,82.586,41.243,16.573,6.294,27.236,3.5722,28.68,74.315,74.292
57.68,48.066,82.049,64.293,57.908,41.773,6.0917,10.45,88.513,99.978,66.74,59.624,42.262,72.843,56.313,63.255
9.2417,60.799,58.315,43.903,39.686,78.642,28.051,75.31,9.3189,31.987,77.095,63.988,85.499,42.513,36.216,58.13
32.406,62.993,49.672,89.743,45.171,50.8,10.582,21.32,55.509,14.799,9.8624,80.78,60.997,30.746,39.982,21.303
49.823,17.734,64.263,71.716,97.346,19.578,47.577,86.279,96.426,13.197,5.5238,77.597,17.896,99.45,91.6,41.3
91.333,67.7,47.316,72.757,14.902,72.194,46.433,29.105,65.53,92.949,74.475,44.387,74.141,74.403,52.645,93.29
52.495,10.361,31.8,11.089,82.943,43.141,49.977,59.706,90.848,56.414,38.548,55.35,30.786,26.694,31.58,26.182
25.03,94.348,64.23,2.2152,82.978,48.626,49.383,49.675,76.87,75.7,40.329,78.228,75.94,48.01,91.38,75.942
45.567,44.148,12.969,26.924,26.221,17.822,45.638,58.065,60.749,98.83,76.316,73.938,35.462,17.424,80.859,87.985
78.832,58.206,17.769,22.624,7.6809,30.395,68.384,33.428,58.124,97.246,12.604,64.443,86.751,72.834,27.712,85.49
10.924,44.272,27.724,15.366,28.472,45.981,86.382,70.412,4.1698,59.313,24.56,22.144,47.209,21.274,54.638,94.384
60.535,88.929,66.41,2.1321,96.345,39.507,88.439,10.196,58.922,35.188,10.478,76.303,66.335,10.91,36.002,25
29.398,26.515,33.848,72.949,13.937,59.161,30.975,23.369,84.686,46.417,89.551,3.2879,25.642,48.625,44.348,13.223
67.199,59.506,61.391,3.605,18.281,10.846,27.487,52.732,51.337,73.842,88.671,92.51,36.271,58.209,6.6812,51.752
27.158,10.203,68.279,41.564,11.779,37.487,17.259,54.498,87.329,35.88,17.741,35.124,60.541,48.846,51.357,30.976
49.732,99.356,23.209,74.106,61.641,29.444,64.546,45.305,71.056,54.848,96.065,36.633,74.256,41.213,9.9836,4.5771
56.121,15.965,81.317,21.722,26.805,85.634,74.116,15.769,37.027,17.488,44.229,86.625,73.439,34.917,52.913,84.61
25.368,15.971,40.542,50.545,64.052,36.151,8.6693,72.694,41.608,55.153,42.179,15.153,53.624,33.131,3.7164,27.836
