0,17.32,0,0
22.92,0,0,0
0,33.463,0,0
0,25.081,0,0
17.014,0,0,0
14.021,0,0,0
0,0,5.1905,0
0,13.399,0,0
0,0,34.155,0
0,0,0,29.152
31.013,0,0,0
0,0,33.702,0
0,0,30.204,0
26.98,0,0,0
0,0,33.192,0
0,0,22.777,0
0,0,0,34.114
0,0,0,29.605
26.035,0,0,0
0,18.545,0,0
0,0,0,31.243
0,0,20.633,0
0,27.584,0,0
0,0,0,41.462
0,0,0,17.902
0,0,20.865,0
-5.316,0,0,0
0,0,27.666,0
0,0,40.257,0
0,0,0,30.994
37.337,0,0,0
0,22.516,0,0
0,0,30.616,0
0,0,3.5627,0
25.368,0,0,0
0,0,1.4531,0
0,40.201,0,0
0,27.53,0,0
0,0,15.332,0
0,0,19.037,0
0,0,17.156,0
0,0,0,43.193
0,0,31.499,0
0,8.7536,0,0
0,31.539,0,0
0,27.249,0,0
0,11.743,0,0
0,0,27.225,0
20.649,0,0,0
0,26.695,0,0
0,0,0,13.216
0,0,25.675,0
0,0,0,13.241
0,0,8.0787,0
0,0,17.769,0
0,0,0,11.496
0,0,0,29.462
0,0,0,15.343
0,31.763,0,0
0,0,22.805,0
0,0,0,26.757
31.326,0,0,0
27.084,0,0,0
0,0,0,36.957
0,0,0,14.003
0,0,0,24.268
0,0,0,24.593
0,0,0,14.945
0,16.313,0,0
0,0,0,23.993
0,0,46.523,0
0,0,0,24.813
0,0,0,29.197
0,0,0,30.206
0,0,44.542,0
0,0,0,22.277
26.494,0,0,0
0,0,23.396,0
0,29.295,0,0
0,0,0,25.24
0,31.471,0,0
0,0,39.73,0
0,20.9,0,0
17.629,0,0,0
0,28.749,0,0
0,0,40.485,0
0,0,0,23.356
0,0,25.072,0
21.466,0,0,0
29.904,0,0,0
0,0,19.162,0
28.241,0,0,0
0,20.721,0,0
0,24.552,0,0
0,0,17.309,0
22.785,0,0,0
0,0,23.16,0
16.314,0,0,0
0,34.183,0,0
0,0,0,37.387
